ticker,url_ri,pdfs_encontrados,pdfs_baixados,erros
ABEV3,https://ri.ambev.com.br,0,0,[]
ALOS3,https://ri.allos.com.br/,0,0,['página de resultados não encontrada']
ANIM3,https://ri.animaeducacao.com.br,0,0,[]
ASAI3,https://ri.assai.com.br,0,0,[]
AUAU3,https://www.auraminerals.com/investidores/,3,3,[]
AURE3,https://ri.aurenenergia.com.br,0,0,[]
AXIA3,https://ri.axia.com.br,0,0,[]
AZZA3,https://ri.azza.com.br/,0,0,['página de resultados não encontrada']
B3SA3,https://ri.b3.com.br,0,0,[]
BBAS3,https://ri.bb.com.br,0,0,[]
BBDC3,https://www.bradesco.com.br/ri,0,0,[]
BBDC4,https://www.bradescori.com.br/,0,0,[]
BBSE3,https://ri.bbseguridade.com.br/,0,0,['página de resultados não encontrada']
BEEF3,https://ri.minervafoods.com,0,0,[]
BPAC11,https://ri.btgpactual.com,0,0,['página de resultados não encontrada']
BRAP4,https://www.bradespar.com.br/,0,0,['página de resultados não encontrada']
BRAV3,https://ri.bravaenergia.com,0,0,[]
BRKM5,https://www.braskem.com.br/ri,0,0,[]
CBAV3,https://ri.cba.com.br,0,0,[]
CEAB3,https://ri.cea.com.br,0,0,[]
CMIG4,https://ri.cemig.com.br,0,0,['página de resultados não encontrada']
CMIN3,https://ri.csn.com.br,0,0,[]
COGN3,https://ri.cogna.com.br/,0,0,['página de resultados não encontrada']
CPFE3,https://ri.cpfl.com.br,0,0,[]
CPLE3,https://ri.copel.com,0,0,[]
CSAN3,https://ri.cosan.com.br,0,0,[]
CSMG3,https://ri.copasa.com.br,0,0,[]
CSNA3,https://ri.csn.com.br,0,0,[]
CURY3,https://ri.cury.com.br/,0,0,['página de resultados não encontrada']
CVCB3,https://ri.cvc.com.br/,0,0,['página de resultados não encontrada']
CXSE3,https://ri.caixaseguridade.com.br,0,0,[]
CYRE3,https://ri.cyrela.com.br/,0,0,['página de resultados não encontrada']
DIRR3,https://ri.direcional.com.br,0,0,[]
ECOR3,https://ri.ecorodovias.com.br,0,0,[]
EGIE3,https://ri.engie.com.br/,0,0,['página de resultados não encontrada']
EMBJ3,https://ri.embraer.com.br,0,0,[]
ENEV3,https://ri.eneva.com.br,0,0,[]
ENGI11,https://ri.energisa.com.br,0,0,[]
EQTL3,https://ri.equatorialenergia.com.br,1,1,[]
EZTC3,https://ri.eztec.com.br,0,0,[]
FLRY3,https://ri.fleury.com.br,0,0,[]
GGBR4,https://ri.gerdau.com,0,0,[]
GGPS3,https://ri.gps.com.br/,0,0,['página de resultados não encontrada']
GMAT3,https://ri.grupomateus.com.br,0,0,[]
GOAU4,https://ri.gerdau.com,0,0,[]
HAPV3,https://ri.hapvida.com.br,0,0,[]
HYPE3,https://ri.hypera.com.br,0,0,[]
IGTI11,https://ri.iguatemi.com.br,0,0,[]
INTB3,https://ri.intelbras.com.br,0,0,[]
IRBR3,https://ri.irbre.com.br/,0,0,['página de resultados não encontrada']
ISAE4,https://ri.isacteep.com.br/,0,0,['página de resultados não encontrada']
ITSA4,https://ri.itausa.com.br,0,0,[]
ITUB3,https://www.itau.com.br/relacoes-com-investidores/,0,0,['página de resultados não encontrada']
ITUB4,https://www.itau.com.br/relacoes-com-investidores/,0,0,['página de resultados não encontrada']
JHSF3,https://ri.jhsf.com.br,0,0,[]
KLBN11,https://ri.klabin.com.br,0,0,[]
LREN3,https://ri.lojasrenner.com.br,0,0,[]
MBRF3,https://ri.mbrf.com,0,0,[]
MDNE3,https://ri.mdne.com.br,0,0,[]
MGLU3,https://ri.magazineluiza.com.br,0,0,[]
MOTV3,https://ri.mobly.com.br/,0,0,['página de resultados não encontrada']
MOVI3,https://ri.movida.com.br,0,0,[]
MRVE3,https://ri.mrv.com.br,0,0,['página de resultados não encontrada']
MULT3,https://ri.multiplan.com.br,0,0,[]
NATU3,https://ri.natura.com.br,0,0,[]
ORVR3,https://ri.orizonvr.com.br/,0,0,[]
